epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,32075.4,0.72039,2.00837,0.19998,0.34554,0.01211,0.47592,0.9768,0.98101,0.99183,0.89199,0.92144,0.89388,0.90164,0.77619,0.5093,1.21966,0.06023,0.18972,0.011,0,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,32567.3,0.7155,1.97656,0.19702,0.33969,0.01195,0.40368,0.9769,0.97885,0.99182,0.89237,0.9146,0.89939,0.9019,0.77644,0.50887,1.21819,0.06003,0.19027,0.01098,0,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,33085.1,0.71751,1.98828,0.19699,0.33719,0.01199,0.38456,0.97711,0.98025,0.99189,0.89244,0.92229,0.89539,0.90202,0.77673,0.50874,1.215,0.05987,0.18926,0.01098,0,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,33556.1,0.72011,1.98441,0.19804,0.34511,0.01207,0.43401,0.97575,0.97926,0.99178,0.89228,0.92183,0.89419,0.90179,0.7764,0.5087,1.21314,0.05972,0.19101,0.01098,0,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,34016.2,0.71643,2.01793,0.19786,0.33955,0.01196,0.42919,0.97625,0.9797,0.99176,0.89202,0.92281,0.89308,0.9019,0.77651,0.50893,1.21167,0.05949,0.19046,0.01099,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,34468.3,0.7091,1.9679,0.19648,0.33302,0.01193,0.38824,0.97574,0.98088,0.9918,0.89212,0.91873,0.89757,0.90191,0.77702,0.50822,1.20922,0.05925,0.1909,0.01097,0,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,34919.3,0.71521,1.9622,0.19448,0.33239,0.01207,0.40974,0.97639,0.98127,0.99186,0.89224,0.92131,0.89601,0.9019,0.77755,0.50775,1.20819,0.05918,0.18976,0.01096,0,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,35459.9,0.71605,1.96015,0.1947,0.33319,0.01203,0.37897,0.97593,0.9805,0.9917,0.89212,0.91477,0.90269,0.90173,0.77726,0.5075,1.2061,0.05902,0.19057,0.01095,0,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,35921.2,0.71026,1.96033,0.19254,0.33288,0.01185,0.391,0.97501,0.98037,0.99159,0.89216,0.9214,0.89537,0.90189,0.77841,0.50721,1.20405,0.05886,0.19147,0.01093,0,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,36392.7,0.7051,1.93698,0.1913,0.33214,0.01174,0.33834,0.9748,0.98025,0.99159,0.89228,0.91554,0.90204,0.90213,0.77924,0.50711,1.20331,0.05865,0.19234,0.01092,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,36851.1,0.71145,1.95254,0.19189,0.33376,0.01191,0.34586,0.97321,0.98155,0.99156,0.89229,0.91432,0.90213,0.90234,0.77951,0.5068,1.20038,0.05845,0.19185,0.01092,0,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,37314.4,0.70906,1.92257,0.19112,0.3296,0.01191,0.38383,0.97517,0.98139,0.99173,0.8925,0.91529,0.9048,0.90262,0.77991,0.50674,1.19707,0.05843,0.19065,0.01091,0,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,37798,0.7073,1.9277,0.18919,0.3216,0.01184,0.33267,0.97608,0.98063,0.9918,0.89272,0.92343,0.89443,0.9028,0.781,0.5061,1.19522,0.0584,0.19005,0.01089,0,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,38320.9,0.70891,1.9598,0.1891,0.32612,0.01194,0.35416,0.97719,0.98114,0.99182,0.89282,0.91559,0.90442,0.90274,0.78098,0.50594,1.19404,0.05834,0.18825,0.01089,0,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,38788.8,0.70295,1.93355,0.18775,0.3302,0.01182,0.32761,0.97576,0.98088,0.99177,0.89273,0.92303,0.8955,0.90276,0.78092,0.50601,1.19414,0.0581,0.18781,0.01089,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,39255.2,0.70384,1.90955,0.18861,0.32417,0.01181,0.3276,0.97555,0.98143,0.99176,0.89266,0.91388,0.90474,0.90274,0.78268,0.50546,1.19329,0.05794,0.18841,0.01087,0,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,39707.1,0.70636,1.9178,0.18518,0.32701,0.01178,0.29272,0.97665,0.98068,0.99194,0.89291,0.92262,0.89729,0.90286,0.783,0.50489,1.19184,0.05779,0.18827,0.01086,0,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,40164.5,0.70881,1.93074,0.18658,0.33162,0.01191,0.33055,0.97554,0.98079,0.99189,0.89285,0.91621,0.90328,0.90284,0.78297,0.50394,1.19078,0.05769,0.18933,0.01083,0,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,40693,0.70484,1.94335,0.18795,0.32861,0.01175,0.35532,0.97442,0.98203,0.99188,0.89299,0.91577,0.90617,0.90283,0.783,0.50347,1.19045,0.05759,0.18805,0.01082,0,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,41159.4,0.69918,1.90984,0.18566,0.32621,0.01169,0.3091,0.97372,0.98228,0.99186,0.89299,0.91659,0.90462,0.90305,0.78316,0.50331,1.18897,0.05735,0.18754,0.01082,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
